zip, count=1
 zest, count=3
 zealous, count=1
 zeal, count=1
 youthful, count=4
 youth, count=1
 yourselves, count=3
 yourself, count=15
 yours, count=6
 your, count=142
 youngster, count=5
 youngest, count=1
 younger, count=3
 young, count=46
 you, count=752
 yorker, count=2
 york, count=9
 yielding, count=1
 yet, count=29
 yes, count=37
 yellow, count=5
 years, count=25
 year, count=15
 yawning, count=1
 yawned, count=2
 yarroll, count=2
 yarn, count=1
 yard, count=2
 yankee, count=1
 y, count=1
 xvii, count=2
 xvi, count=2
 xv, count=2
 xiv, count=2
 xiii, count=2
 xii, count=2
 xi, count=2
 x, count=2
 www, count=8
 wrought, count=4
 wrote, count=1
 wrong, count=1
 written, count=6
 writing, count=3
 write, count=3
 wringing, count=1
 wring, count=2
 wriggle, count=1
 wretches, count=2
 wretched, count=1
 wresting, count=1
 wrested, count=1
 wrecked, count=1
 wreckage, count=3
 wreck, count=1
 wouldn, count=22
 would, count=223
 worthless, count=1
 worth, count=10
 worse, count=2
 worrying, count=1
 worry, count=4
 worried, count=3
 worn, count=1
 worm, count=1
 world, count=27
 workshop, count=2
 works, count=32
 workroom, count=1
 workmen, count=6
 workman, count=3
 working, count=23
 workers, count=4
 worker, count=1
 worked, count=21
 workbench, count=1
 workable, count=1
 work, count=137
 words, count=16
 word, count=6
 wool, count=2
 woods, count=10
 wooden, count=10
 wood, count=3
 wonderland, count=1
 wondering, count=1
 wonderful, count=6
 wondered, count=3
 wonder, count=11
 won, count=27
 women, count=1
 woman, count=2
 wolf, count=1
 woke, count=1
 woe, count=1
 wits, count=1
 witnessed, count=2
 witness, count=1
 without, count=37
 within, count=18
 withered, count=1
 withal, count=1
 with, count=418
 wistfully, count=1
 wistful, count=1
 wishing, count=1
 wishes, count=2
 wished, count=6
 wish, count=18
 wiser, count=2
 wisely, count=1
 wise, count=2
 wisdom, count=3
 wiring, count=1
 wires, count=22
 wireless, count=12
 wire, count=29
 wiped, count=1
 wipe, count=2
 winters, count=1
 winter, count=6
 winning, count=1
 wing, count=1
 windows, count=14
 windowboxes, count=1
 window, count=9
 windings, count=2
 wind, count=1
 win, count=5
 willingness, count=1
 willingly, count=2
 willing, count=9
 williams, count=24
 william, count=3
 will, count=122
 wild, count=1
 wife, count=3
 widest, count=2
 wider, count=2
 widening, count=1
 wide, count=6
 why, count=69
 whose, count=8
 whomsoever, count=1
 whom, count=10
 wholly, count=3
 whole, count=15
 whoever, count=1
 who, count=122
 white, count=4
 whit, count=2
 whistling, count=2
 whistle, count=1
 whispers, count=1
 whispering, count=1
 whispered, count=1
 whisper, count=2
 whirling, count=1
 whining, count=2
 whiners, count=1
 whined, count=1
 whine, count=1
 whimsically, count=1
 whimpered, count=1
 while, count=29
 whichever, count=2
 which, count=103
 whetting, count=1
 whether, count=18
 wherever, count=3
 where, count=47
 whenever, count=6
 when, count=128
 wheels, count=1
 wheeled, count=2
 wheel, count=6
 wheedler, count=1
 whatsoever, count=2
 whatever, count=10
 what, count=170
 wharton, count=65
 wet, count=1
 western, count=1
 west, count=2
 were, count=220
 went, count=44
 wendell, count=1
 well, count=111
 welfare, count=1
 welded, count=1
 welcomed, count=1
 welcome, count=2
 weight, count=3
 weighed, count=2
 weeks, count=6
 week, count=6
 weeding, count=1
 wee, count=1
 web, count=7
 weather, count=8
 weary, count=2
 wear, count=2
 weapons, count=2
 weapon, count=1
 wealth, count=2
 weak, count=5
 we, count=238
 ways, count=5
 way, count=54
 waved, count=2
 wave, count=2
 watson, count=73
 waters, count=7
 water, count=38
 watchmen, count=4
 watched, count=4
 watch, count=6
 wasted, count=1
 waste, count=4
 wasn, count=14
 washington, count=2
 washed, count=3
 wash, count=3
 was, count=760
 warranty, count=2
 warranties, count=3
 warnings, count=1
 warning, count=7
 warn, count=3
 warmest, count=1
 warm, count=5
 warfare, count=1
 ware, count=5
 war, count=2
 wants, count=1
 wanting, count=2
 wanted, count=24
 want, count=45
 wandering, count=1
 wandered, count=2
 wander, count=1
 walworth, count=1
 walnut, count=1
 walls, count=3
 walling, count=1
 wall, count=1
 walks, count=1
 walk, count=6
 waking, count=1
 wakened, count=1
 wake, count=3
 waiting, count=3
 waited, count=6
 wait, count=8
 wailing, count=1
 wail, count=1
 wagon, count=1
 wages, count=3
 wager, count=1
 wage, count=1
 wade, count=2
 w, count=3
 vouchsafed, count=2
 volunteers, count=6
 volunteer, count=1
 voluntarily, count=1
 volumes, count=1
 volume, count=1
 volubly, count=1
 volts, count=1
 void, count=1
 voices, count=3
 voice, count=18
 vocal, count=1
 vivid, count=1
 vitality, count=1
 vistas, count=1
 visits, count=2
 visitors, count=3
 visitor, count=3
 visiting, count=1
 visit, count=7
 visions, count=1
 visionaries, count=1
 vision, count=2
 visible, count=1
 virus, count=1
 violates, count=1
 villagers, count=2
 village, count=27
 viii, count=2
 vii, count=2
 vigorously, count=2
 vigor, count=1
 viewpoint, count=1
 viewing, count=1
 viewed, count=1
 view, count=10
 viennese, count=1
 vienna, count=1
 victory, count=1
 vicissitude, count=1
 vicinity, count=1
 vibrations, count=5
 vibration, count=7
 vibrating, count=4
 vibrate, count=2
 vi, count=2
 very, count=67
 version, count=1
 vermonters, count=1
 vermont, count=20
 verified, count=2
 verdant, count=1
 venturing, count=1
 venturesome, count=1
 ventured, count=5
 venture, count=5
 vented, count=1
 vent, count=1
 velvet, count=1
 vegetables, count=1
 ve, count=48
 vaudeville, count=1
 vastly, count=1
 vast, count=5
 varying, count=3
 vary, count=2
 various, count=3
 variety, count=3
 varieties, count=1
 varies, count=2
 varied, count=3
 vanished, count=2
 vanilla, count=2
 vandals, count=1
 value, count=7
 valuable, count=4
 vaguely, count=1
 vague, count=1
 vacations, count=1
 vacation, count=4
 vacant, count=1
 vacancy, count=1
 v, count=2
 uttering, count=1
 utterance, count=1
 utmost, count=1
 utilizing, count=1
 ut, count=1
 usually, count=4
 usual, count=4
 using, count=6
 ushering, count=1
 user, count=3
 useless, count=1
 usefulness, count=1
 useful, count=1
 used, count=18
 use, count=42
 us, count=46
 urging, count=1
 urged, count=2
 urge, count=1
 upset, count=1
 uprooted, count=1
 upper, count=3
 upon, count=23
 uplift, count=2
 uphold, count=1
 updated, count=1
 up, count=161
 unwise, count=1
 unwillingly, count=1
 unwilling, count=1
 unwelcome, count=1
 unwary, count=1
 unusually, count=2
 unusual, count=3
 unused, count=1
 until, count=39
 untidy, count=1
 untheatrical, count=1
 unsullied, count=1
 unspoiled, count=1
 unsolicited, count=1
 unsoldered, count=1
 unskilled, count=1
 unsightly, count=1
 unshaken, count=1
 unsatisfactory, count=1
 unreasonable, count=1
 unquestionably, count=3
 unprofitable, count=1
 unpack, count=1
 unnecessary, count=1
 unmolested, count=1
 unmistakably, count=1
 unmistakable, count=2
 unmindful, count=1
 unlucky, count=3
 unluckily, count=1
 unlooked, count=1
 unlocked, count=2
 unlock, count=1
 unload, count=1
 unlink, count=1
 unless, count=8
 unknown, count=2
 unkindly, count=2
 university, count=2
 universe, count=2
 universally, count=1
 unity, count=1
 united, count=13
 unison, count=1
 unions, count=1
 union, count=1
 uninteresting, count=1
 uninitiated, count=1
 uniformity, count=1
 uniform, count=1
 unheralded, count=2
 unhappiness, count=1
 unhampered, count=2
 ungrateful, count=2
 unfortunately, count=1
 unfortunate, count=3
 unfoldings, count=1
 unfold, count=1
 unflagging, count=1
 unfenced, count=1
 unfastened, count=1
 unexpectedly, count=1
 unenforceability, count=1
 unearth, count=1
 undulatory, count=1
 undress, count=1
 undoubtedly, count=1
 underwear, count=1
 undertone, count=1
 undertaking, count=1
 understood, count=4
 understandingly, count=1
 understandable, count=1
 understand, count=13
 underneath, count=1
 under, count=19
 uncomfortable, count=2
 unchallenged, count=1
 uncertain, count=2
 unbroken, count=1
 unblinking, count=1
 unbending, count=1
 unbelievably, count=1
 unbelievable, count=3
 unbeknown, count=1
 unawares, count=1
